,Catégorie,Code_Categ,Question,Reponse,Client/Pas_Client,Code_Customer
0,offre,5,Quelle est la spécificité de l'offre d'Enercoop ?,"Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.
Au-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.
En choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.",Pas_Client,2
1,offre,5,Comment puis-je être sûr de recevoir uniquement de l'électricité verte ?,"Il n'y a pas de traçabilité physique de l'électricité une fois injectée dans le réseau commun de transport et de distribution.
Enercoop s'engage à injecter sur le réseau de distribution autant d'électricité d'origine renouvelable que ses clients en consomment. La traçabilité est financière : vous avez la garantie que votre argent va aux énergies renouvelables, en rémunérant les producteurs de la coopérative via votre facture d'électricité.
En plus de s'approvisionner auprès de producteurs d'énergie renouvelable, Enercoop recourt au dispositif des garanties d'origine, géré par un organisme indépendant, lui permettant de démontrer que l'électricité qu'il fournit est bien d'origine renouvelable. Grâce aux contrats établis en direct avec les producteurs, ces garanties d'origine sont directement liées à l'énergie achetée par Enercoop.",Pas_Client,2
2,offre,5,Pourquoi l'offre d'Enercoop est-elle un peu plus chère que celle des autres fournisseurs ?,"Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.
Enercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.
Le modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. 
Les énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.
Enfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.",Pas_Client,2
3,souscription,8,Comment souscrire un contrat chez Enercoop ?,C'est très simple ! Rendez-vous sur https://souscription.enercoop.fr/ et laissez-vous guider !,Pas_Client,2
4,souscription,8,Dois-je résilier le contrat avec mon fournisseur actuel pour souscrire chez Enercoop ?,"Non ! Enercoop s'occupe de tout au moment du traitement de votre souscription. Enercoop prendra en charge la résiliation de votre contrat en cours. Par ailleurs, il n'y aura ni coupure de courant, ni intervention sur votre compteur, qui reste géré par le gestionnaire du réseau de distribution (Enedis). Ce sont les mêmes agents qui interviendront pour effectuer vos relevés de compteur ainsi qu’en cas de panne.",Pas_Client,2
5,souscription,8,Mon choix engage-t-il le prochain occupant / mon propriétaire?,"Non. Tout nouvel entrant dans un logement / local peut choisir immédiatement l'offre de son choix, y compris les tarifs réglementés, quel qu'ait été le choix du précédent occupant.",Pas_Client,2
6,souscription,8,Puis-je changer d'avis ?,"Oui. Vous pouvez quitter Enercoop à tout moment sans frais.
De plus, le retour aux tarifs réglementés est possible sans conditions pour les consommateurs dont le site a une puissance inférieure ou égale à 36 kVA.
Sachez qu'en cas de souscription à distance (internet, téléphone, courrier) vous bénéficiez, si vous êtes un particulier, d'un délai de rétractation de 14 jours à compter de la date de souscription ou d'acceptation de l'offre quand elle est souscrite par internet.
La rétractation peut être opérée par tout moyen et sans motif. Si le délai expire un samedi, un dimanche ou un jour férié ou chômé, il est prolongé jusqu'au premier jour ouvrable suivant.
Vous pouvez demander à ce que l'exécution de votre contrat débute avant la fin du délai de rétractation si vous nous en faites directement la demande. Dans ce cas, l'énergie consommée et l'abonnement sont dus jusqu’à la date où vous nous communiquez votre décision de vous rétracter.",Pas_Client,2
7,souscription,8,Comment trouver mon point de livraison ?,"Afin de finaliser la souscription d’un contrat Enercoop, il est nécessaire de nous transmettre votre point de livraison (PDL). C’est une référence à 14 chiffres, qui se situe sur la facture de votre actuel fournisseur.
Si vous venez d’emménager dans un nouveau local, plusieurs possibilités s'offrent à vous pour trouver ce numéro :
• Le récupérer auprès de votre prédécesseur, de votre agence ou de votre propriétaire selon votre situation
• Nous communiquer le nom du prédécesseur et/ou le numéro de matricule de votre compteur
• Nous envoyer une photo lisible du compteur.
Si vous avez déjà un contrat chez un fournisseur d’électricité, vous trouverez cette référence directement sur vos factures actuelles.",Pas_Client,2
8,souscription,8,Comment effectuer la relève de mon compteur ?,"Afin de finaliser la souscription d’un contrat Enercoop, il est nécessaire de nous transmettre votre relève de compteur. Cette relève doit être transmise selon votre paramétrage actuel : Base ou Heures - Pleines / Heures creuses.
Le relevé du compteur permet de connaître avec exactitude le nombre de kWh consommés.
  Vous avez un compteur électromécanique
- Si le compteur comporte un seul cadran (option Base), relevez les 5 ou 6 derniers chiffres.
- Si le compteur comporte deux cadrans (option Heures pleines / Heures creuses), relevez les 5 ou 6 derniers chiffres des deux cadrans. La première ligne correspond à la consommation aux heures creuses, la seconde correspond à la consommation aux heures pleines.
  Vous avez un compteur électronique
Appuyez sur le bouton «D» (Défilement).
- Si des chiffres s’affichent, sans texte (option Base), relevez les 5 derniers chiffres.
- Si des chiffres s’affichent, avec une indication texte «creuse» ou «pleine» (option Heures pleines / Heures creuses), relevez les 5 derniers chiffres indiqués pour la tranche horaire affichée et appuyez de nouveau sur le bouton «D» (Défilement), pour relèver les 5 autres chiffres indiqués pour l’autre tranche horaire.
 ",Pas_Client,2
9,souscription,8,Le réseau de distribution va t-il me réserver le même accueil qu'aux clients d'EDF ?,"Oui. Nous n'avons jamais constaté de traitement en défaveur de nos consommateurs. Le réseau est devenu une entité distincte d'EDF, Enedis (anciennement Électricité Réseau Distribution France), au service de tous les consommateurs, qu'ils soient clients d'Enercoop ou du fournisseur historique.",Pas_Client,2
