Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Quelle est la spécificité de l'offre d'Enercoop ?	Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.	Ener_excel.xlsx		[]	false	[]	1
A quoi ça sert ?	Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.	Ener_excel.xlsx		[]	false	[]	1
Pourquoi choisir Enercoop ?	Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.	Ener_excel.xlsx		[]	false	[]	1
Que propose Enercoop ?	Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.	Ener_excel.xlsx		[]	false	[]	1
Quels services fournit Enercoop ?	Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.	Ener_excel.xlsx		[]	false	[]	1
Qu'est-ce qu'Enercoop ?	Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.	Ener_excel.xlsx		[]	false	[]	1
A quoi sert Enercoop ?	Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.	Ener_excel.xlsx		[]	false	[]	1
Quelles sont les caractéristiques de l'offre d'Enercoop ?	Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.	Ener_excel.xlsx		[]	false	[]	1
Quelles sont les particularités de l'offre d'Enercoop ?	Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.	Ener_excel.xlsx		[]	false	[]	1
Quelles sont les spécificités de l'offre d'Enercoop ?	Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.	Ener_excel.xlsx		[]	false	[]	1
