,Question,Answer,QnaId
0,Quelle est la spécificité de l'offre d'Enercoop ?,"Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.",1
1,A quoi ça sert ?,"Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.",1
2,Pourquoi choisir Enercoop ?,"Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.",1
3,Que propose Enercoop ?,"Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.",1
4,Quels services fournit Enercoop ?,"Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.",1
5,Qu'est-ce qu'Enercoop ?,"Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.",1
6,A quoi sert Enercoop ?,"Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.",1
7,Quelles sont les caractéristiques de l'offre d'Enercoop ?,"Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.",1
8,Quelles sont les particularités de l'offre d'Enercoop ?,"Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.",1
9,Quelles sont les spécificités de l'offre d'Enercoop ?,"Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.",1
